# step,rank,entropy,components,curvature,nabla_t
183.000000,16.000000,2.155718,1.000000,1216041598816610800476154533812535808035386565421814528381397358842052662411231311293283565568.000000,3462069436144560425417934489240962110366478402522377839483843903945303513576837432347721728.000000
184.000000,16.000000,2.155718,1.000000,17878063285346873942571159490531087608738039677705752919318317197392640897433195093451207606272.000000,50898822494056104579693726414199726994857730101912947009757948399045375365732364042190716928.000000
185.000000,16.000000,2.155718,1.000000,262840635930438622918151141720231537678132712305273466268582488454181877121674502387190745530368.000000,748306833785343880589544158974840566620187201888049432172284596079330746414007892888982126592.000000
186.000000,16.000000,2.155718,1.000000,3864244065447942993377268060276749022100280283868689723179705315524123398181281956256094955241472.000000,11001494835867738334286898002767579428777304002875620668117326468890402555036523994893967687680.000000
187.000000,16.000000,2.155718,1.000000,56811543444719030715785173472132534254294040483196291542447133430807907339861071363382188783435776.000000,161742330640180063295855013942931895174023283860868641202681519616867917218201207554236886286336.000000
188.000000,16.000000,2.155718,1.000000,835234890872824393890017773218832320712023728730620287910753444121637235697864252992712319443140608.000000,2377911582847100896510482541628007810930875532680575985793759263209077626385798715091089667129344.000000
189.000000,16.000000,2.155718,1.000000,12279499568907843665404076809702568108020180379893998846317457605963933204676827722338916128989904896.000000,34959701383322874012066262196478824778610819643915539624493532583723016700945061777891397747081216.000000
190.000000,16.000000,2.155718,1.000000,180531382686198445223698376411612336049177977590058525818046157738138750026821298859484284602801979392.000000,513972321143759712016253471468607780913694239089099517566707987977709681635881563341711046785105920.000000
191.000000,16.000000,2.155718,1.000000,2654145632016387314139895246311369071819417554905491450857098128334060850963774335112036792847858401280.000000,7556344564734962351925217890532044806564178788483664075703453845860038845587777391836576011341791232.000000
192.000000,16.000000,2.155718,1.000000,39020855725050139896579337679894468883575492337287886176175175604522711517876736001827203546859796692992.000000,111092253992260330698436156320736065615854018624558823368644604615114942200689389085343621225339944960.000000
193.000000,16.000000,2.155718,1.000000,573678837907951443333474511804645495276374557904372582396765226883432456173078118501289532272750933049344.000000,1633261807129800067084080894796051598702131539298107198556146353929707329055030641309945075923461079040.000000
194.000000,16.000000,2.155718,1.000000,8434141256026750388122893670437108794371442809900804324909011380807308559483503874871838283181630725029888.000000,24011972475556164385805213605248030642552594499410839407818275477188669160271960894140863069768277557248.000000
195.000000,16.000000,2.155718,1.000000,123997494827115257067653357682923082974480851861933834329578115680743788371146094100573584798919718407766016.000000,353020454042761627689959699505004431612088696483716540850034333013249475747649092749199970448168747794432.000000
196.000000,16.000000,2.155718,1.000000,1822992793019271259569701087694201820347936148073672387944244951393505529660002697500392530898181101350551552.000000,5190054317731037133065078011254257015262695188644949035531574755999656329721722044233622489386790531629056.000000
197.000000,16.000000,2.155718,1.000000,26801369885123978988217779261203142656242604603250516533800561355532009836296344809921890197599437662709612544.000000,76303408463251715499529058767339357019011157391708022575965988567740235287744858892669299745234989009076224.000000
198.000000,16.000000,2.155718,1.000000,394029768258580229072751438130401528066031921705801795358687071092392451769375394587283302097154485143935647744.000000,1121801391806815676172773217799602900938890447595232850762650368566991643358474396375490917204941309785145344.000000
199.000000,16.000000,2.155718,1.000000,5792967260570120083308253234303468464121712291449601160266217190048837828446550005376949173120290009146554580992.000000,16492557678478126586382583896056844519522635238126548474837829311318016717730429438687672975242029532522217472.000000
