# step,rank,entropy,components,curvature,nabla_t
193.000000,16.000000,2.155718,1.000000,865039817999036799087823613473753428368621481702798730915415494774323706605940129784753809350335660032000.000000,2462765189062088644256447704064331478342167183303936440934788264660248992970065046458834576894750359552.000000
194.000000,16.000000,2.155718,1.000000,12717687217040555332250198832187734146057666636265851413859171834095490100498872286168412526239853861404672.000000,36207209064572272104924551036249596445745700068370569384321537903359026920745270297512232595607382917120.000000
195.000000,16.000000,2.155718,1.000000,186973552870140770192873667190732011660739312630105318896071448712972074683449567011755509506009512965832704.000000,532313024675833535590522613936210464415297075742312893475387633116740566705002730849048552245710089617408.000000
196.000000,16.000000,2.155718,1.000000,2748857467193279894364563853068727792417773171109314005072639815797389607528314396695420003482072671225643008.000000,7825987236100642421894537808182629309593005982587676798360571129102046145855316235279562796332007982891008.000000
197.000000,16.000000,2.155718,1.000000,40413295136102153634568491488251111052027205403785383635540271241605234526951242232946044525004086651759099904.000000,115056504983293990586116773228118355286914518431647549235842816686531236963094863878028712963450913511440384.000000
198.000000,16.000000,2.155718,1.000000,594150276331888711148588073690338124742322107461086211837994973891478622398835661651712455269879553688527175680.000000,1691543690520683775086848055816044632827543266126915681766305584943142602843271679078532798962999903716900864.000000
199.000000,16.000000,2.155718,1.000000,8735109316661199716814863504170960236367235797966277134702176845686709374765674847972921124103251752467157745664.000000,24868824722297912862387785929539523763767120693417070748010594171889260571749857087844044486335795979593187328.000000
200.000000,16.000000,2.155718,1.000000,128422282733285529186429582055100766086611817880474515308434424544692389597220180005665718324885949290804836040704.000000,365617776410809253964503427854790007258887454647363700249816595986717582112518787577772044456710720727319314432.000000
201.000000,16.000000,2.155718,1.000000,1888045370058231050725755873095113195762274452614268703594020449084643589267612443053411745276228509174813872357376.000000,5375258375825939279403425570579701975389011706882927019699129396587010978287900582206681723992080901215799476224.000000
202.000000,16.000000,2.155718,1.000000,27757763244052189088352977353363833904361302013106631340143596952568747446252017031279668207129342912235818931191808.000000,79026252178143196876118997540278757986321005503388275073689972730990716353378058758049419106803867041847138320384.000000
